24 1.5000
1024 41.220
2024 99.370
3024 178.01
4024 279.91
5024 395.20
6024 529.05
7024 693.84
8024 875.00
9024 1106.4
10024 1322.4
11024 1572.1
12024 1864.4
13024 2141.8
14024 2456.9
15024 2801.4
16024 3139.3
17024 3546.0
18024 3951.3
19024 4376.6
20024 4793.6
21024 5285.5
22024 5753.5
23024 6208.2
24024 6738.3
25024 7227.3
26024 7806.6
27024 8379.8
28024 8969.9
29024 9554.3
30024 10260.
31024 10970.
32024 11587.
