10 0.005127
1010 8.951172
2010 33.067139
3010 76.696045
4010 140.078125
5010 224.771973
6010 328.907959
7010 462.687012
8010 608.729980
9010 776.790039
10010 965.875000
11010 1183.454102
12010 1419.432129
13010 1696.458984
14010 2005.371094
15010 2316.115967
16010 2708.774170
17010 2976.998047
18010 3363.020996
19010 3767.166992
20010 4178.549072
21010 4708.005859
22010 5162.552002
23010 5630.044922
24010 6052.826172
25010 6577.068115
26010 7248.823975
27010 7675.582031
28010 8380.519043
29010 8922.744873
30010 9650.807861
31010 10270.257080
32010 11010.818848
33010 11644.053955
34010 12705.471924
35010 12979.375977
36010 14021.695068
37010 14640.094971
38010 15470.847168
39010 16519.512207
